REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1965,BC,"Wheat, all",53,1880,77700,102000,41300,4141
1965,CA,Barley,47,1920,4752900,6121200,2476800,225208
1965,CA,"Beans, all dry (white and coloured)",161,1560,59900,95100,38450,9643
1965,CA,Buckwheat,52,865,19300,55100,22350,1003
1965,CA,Canola (rapeseed),106,885,512600,1435000,580700,54360
1965,CA,Corn for grain,51,5015,1511800,746000,301400,77340
1965,CA,Corn for silage,6.9,24800,5453000,540600,218800,37826
1965,CA,Flaxseed,107,790,741150,2314700,937150,79026
1965,CA,Mixed grains,43,2485,1649150,1639500,663400,71229
1965,CA,Mustard seed,104,880,55600,156000,63100,5763
1965,CA,Oats,48,1825,6168850,8362000,3383600,293314
1965,CA,"Peas, dry",75,1520,36100,58900,23750,2710
1965,CA,"Rye, all",41,1400,453400,799000,323900,18718
1965,CA,"Rye, fall remaining",41,1440,407500,,,16827
1965,CA,"Rye, spring",41,1115,45900,103000,41200,1891
1965,CA,Soybeans,99,2040,218500,265000,107200,21681
1965,CA,Sugar beets,18.4,30200,1036300,85023,34300,19061
1965,CA,Sunflower seed,130,480,13250,68000,27500,1726
1965,CA,Tame hay,23,3700,19402000,12815000,5187000,445308
1965,CA,"Wheat, all",62,1545,17673950,28301400,11451650,1089458
1965,MA,Barley,48,1970,479000,601000,243000,23100
1965,MA,Buckwheat,48,535,4350,20000,8100,210
1965,MA,Canola (rapeseed),108,925,54400,145000,58700,5880
1965,MA,Corn for grain,49,1585,3800,6000,2400,188
1965,MA,Corn for silage,7.7,13370,238000,44000,17800,1834
1965,MA,Flaxseed,106,755,411500,1350000,546000,43578
1965,MA,Mixed grains,42,2075,122500,146000,59100,5100
1965,MA,Mustard seed,112,955,10800,28000,11300,1214
1965,MA,Oats,46,1850,1141000,1525000,617000,52540
1965,MA,"Peas, dry",66,1495,25700,42500,17200,1699
1965,MA,"Rye, all",41,1410,76500,133000,54200,3120
1965,MA,"Rye, fall remaining",41,1415,75000,,,3058
1965,MA,"Rye, spring",41,1250,1500,3000,1200,62
1965,MA,Sugar beets,18.9,22700,237900,25917,10500,4501
1965,MA,Sunflower seed,132,620,12000,48000,19400,1584
1965,MA,Tame hay,18.2,3800,1481000,960000,390000,26928
1965,MA,"Wheat, all",61,1640,2150000,3240000,1311000,130350
1965,MP,Barley,53,1940,12800,16500,6600,674
1965,MP,Mixed grains,49,2110,55300,64800,26200,2701
1965,MP,Oats,56,1525,126150,204000,82600,7010
1965,MP,Tame hay,19.1,3600,940000,651000,264000,17979
1965,MP,"Wheat, all",64,1835,5050,6900,2750,324
1965,NB,Barley,57,1875,3000,4000,1600,172
1965,NB,Buckwheat,55,1580,1500,2300,950,83
1965,NB,Corn for silage,0,0,0,0,0,0
1965,NB,Mixed grains,51,1975,7300,9200,3700,375
1965,NB,Oats,55,1530,52100,84000,34000,2870
1965,NB,Tame hay,19.3,3360,339000,249000,101000,6545
1965,NB,"Wheat, all",65,1860,2700,3600,1450,175
1965,NS,Barley,55,1900,1900,2500,1000,105
1965,NS,Corn for silage,0,0,0,0,0,0
1965,NS,Mixed grains,54,2055,7200,8600,3500,388
1965,NS,Oats,58,1585,18000,28000,11350,1051
1965,NS,"Rye, all",0,0,0,0,0,0
1965,NS,Tame hay,19.8,4200,382000,225000,91000,7578
1965,NS,"Wheat, all",62,2000,600,800,300,37
1965,ON,Barley,52,2650,208900,195000,78900,10841
1965,ON,"Beans, all dry (white and coloured)",161,1565,59400,94000,38000,9553
1965,ON,Buckwheat,51,1305,7950,15000,6100,406
1965,ON,Corn for grain,51,5045,1508000,740000,299000,77152
1965,ON,Corn for silage,6.7,26450,4496000,420000,170000,30232
1965,ON,Flaxseed,100,995,8050,20000,8100,809
1965,ON,Mixed grains,43,3010,987000,810000,327800,42554
1965,ON,Oats,51,2165,1200100,1370000,554400,61475
1965,ON,"Peas, dry",96,1350,1350,2500,1000,130
1965,ON,"Rye, all",43,1605,32400,50000,20200,1402
1965,ON,Soybeans,99,2040,218500,265000,107200,21681
1965,ON,Sugar beets,15.1,44500,195800,10950,4400,2957
1965,ON,Tame hay,27.3,3950,5399000,3381000,1368000,147585
1965,ON,"Wheat, all",61,2460,373600,376000,151900,22643
1965,ON,"Wheat, spring",61,1755,15600,22000,8900,947
1965,ON,"Wheat, winter remaining",61,2505,358000,,,21696
1965,PP,Barley,47,1895,4398000,5741000,2323000,208000
1965,PP,Canola (rapeseed),106,885,512600,1435000,580700,54360
1965,PP,Corn for silage,8.2,11800,259000,49900,20200,2122
1965,PP,Flaxseed,107,785,721400,2265000,917000,76909
1965,PP,Mixed grains,41,1995,533600,661000,267500,21859
1965,PP,Oats,45,1835,4195000,5645000,2284000,188120
1965,PP,"Peas, dry",71,1545,32400,52100,21000,2309
1965,PP,"Rye, all",41,1385,416900,743000,301200,17148
1965,PP,Sugar beets,18.9,26500,695200,64816,26200,13172
1965,PP,Tame hay,17.7,4200,8539000,5014000,2030000,151424
1965,PP,"Wheat, all",62,1530,17200000,27790000,11245000,1061270
1965,PEI,Barley,50,1975,7900,10000,4000,397
1965,PEI,Corn for silage,0,0,0,0,0,0
1965,PEI,Mixed grains,48,2145,40800,47000,19000,1938
1965,PEI,Oats,55,1505,56050,92000,37250,3089
1965,PEI,Tame hay,17.6,3040,219000,177000,72000,3856
1965,PEI,"Wheat, all",64,1750,1750,2500,1000,112
1965,QU,Barley,55,1925,13100,16700,6800,727
1965,QU,"Beans, all dry (white and coloured)",180,1110,500,1100,450,90
1965,QU,Buckwheat,55,765,5500,17800,7200,304
1965,QU,Corn for grain,0,0,0,0,0,0
1965,QU,Corn for silage,7.7,23550,624000,65600,26500,4816
1965,QU,Flaxseed,112,985,11200,28000,11350,1254
1965,QU,Mixed grains,56,1725,69600,99700,40300,3922
1965,QU,Oats,58,1370,601300,1083000,438300,34699
1965,QU,"Peas, dry",169,1385,900,1600,650,152
1965,QU,"Rye, all",43,1410,2400,4100,1700,103
1965,QU,Sugar beets,20.2,39300,145300,9257,3700,2932
1965,QU,Tame hay,29.2,2710,3654000,3329000,1347000,106742
1965,QU,"Wheat, all",61,1645,17600,26500,10700,1080
1965,SK,Barley,48,2000,1415000,1750000,708000,67600
1965,SK,Canola (rapeseed),106,1080,242700,555000,224600,25680
1965,SK,Corn for silage,13.7,875,21000,5900,2400,288
1965,SK,Flaxseed,107,815,185400,560000,227000,19856
1965,SK,Mixed grains,40,2020,110200,135000,54600,4374
1965,SK,Mustard seed,102,895,21000,58000,23500,2134
1965,SK,Oats,45,1865,1450000,1920000,777000,64860
1965,SK,"Peas, dry",85,1415,850,1600,600,72
1965,SK,"Rye, all",41,1350,224000,410000,166000,9152
1965,SK,"Rye, fall remaining",41,1415,191000,,,7800
1965,SK,"Rye, spring",41,1065,33000,77000,31000,1352
1965,SK,Sunflower seed,113,165,1100,16500,6700,124
1965,SK,Tame hay,17.6,4200,2018000,1190000,480000,35600
1965,SK,"Wheat, all",62,1455,10886000,18500000,7486000,680000
1966,AB,Barley,47,2205,3462000,3880000,1570000,163770
1966,AB,Canola (rapeseed),110,990,249500,624000,252500,27500
1966,AB,Corn for silage,0,0,0,0,0,0
1966,AB,Flaxseed,108,1000,139700,347000,140000,15125
1966,AB,Mixed grains,43,2235,370700,410000,165900,15802
1966,AB,Mustard seed,101,1010,35900,87900,35600,3639
1966,AB,Oats,43,1850,1558000,2082000,843000,67670
1966,AB,"Peas, dry",110,1625,5200,8000,3200,573
1966,AB,"Rye, all",43,1555,109000,172300,70000,4687
1966,AB,"Rye, fall remaining",43,1640,95000,,,4088
1966,AB,"Rye, spring",43,1165,14000,29300,12000,599
1966,AB,Sugar beets,18.4,34100,522100,37884,15300,9617
1966,AB,Sunflower seed,89,500,650,3200,1300,58
1966,AB,Tame hay,18.2,3610,4291000,2938000,1190000,78045
1966,AB,"Wheat, all",64,1975,5198000,6506000,2633000,330430
1966,BC,Barley,42,1905,115600,150000,60700,4885
1966,BC,Corn for silage,8.8,38080,99000,6400,2600,872
1966,BC,Flaxseed,108,715,500,1700,700,54
1966,BC,Mixed grains,56,2700,5400,4900,2000,305
1966,BC,Oats,45,2070,57600,68700,27800,2579
1966,BC,"Peas, dry",77,1950,1950,2400,1000,150
1966,BC,"Rye, all",43,2180,2400,2700,1100,102
1966,BC,Tame hay,23.7,5680,1051000,458000,185000,24918
1966,BC,"Wheat, all",54,1840,94700,127000,51400,5150
1966,CA,Barley,48,2135,6449950,7461300,3019600,310690
1966,CA,"Beans, all dry (white and coloured)",151,1675,79800,118000,47700,12019
1966,CA,Buckwheat,63,1145,25350,54600,22100,1591
1966,CA,Canola (rapeseed),109,950,585100,1525000,617100,63760
1966,CA,Corn for grain,58,5165,1685600,806600,326400,97588
1966,CA,Corn for silage,7.4,25600,6026000,577700,234000,44404
1966,CA,Flaxseed,107,735,572000,1917700,776050,61252
1966,CA,Mixed grains,46,2325,1662400,1766600,715050,76112
1966,CA,Mustard seed,103,925,75000,200600,81200,7695
1966,CA,Oats,48,1790,5717400,7895900,3195150,275108
1966,CA,"Peas, dry",90,1200,29750,61300,24750,2676
1966,CA,"Rye, all",43,1490,437600,725800,293400,18788
1966,CA,"Rye, fall remaining",43,1535,386600,,,16617
1966,CA,"Rye, spring",43,1240,51000,102600,41200,2171
1966,CA,Soybeans,110,2175,245300,279000,112900,27036
1966,CA,Sugar beets,18.1,32300,1058200,81272,32800,19126
1966,CA,Sunflower seed,128,695,14850,53000,21400,1906
1966,CA,Tame hay,19.9,4400,23630000,13154000,5318000,469284
1966,CA,"Wheat, all",65,1875,22516850,29692500,12016000,1457123
1966,MA,Barley,50,1725,610000,875000,354000,30800
1966,MA,Buckwheat,85,805,7400,22700,9200,629
1966,MA,Canola (rapeseed),108,690,47600,170000,68800,5145
1966,MA,Corn for grain,58,2750,3300,2900,1200,191
1966,MA,Corn for silage,7.7,13800,207000,37100,15000,1596
1966,MA,Flaxseed,106,595,266700,1107000,448000,28350
1966,MA,Mixed grains,47,1875,139700,184000,74500,6503
1966,MA,Mustard seed,113,615,7800,31500,12700,882
1966,MA,Oats,49,1595,987000,1530000,619000,48000
1966,MA,"Peas, dry",83,1070,19900,46000,18600,1645
1966,MA,"Rye, all",42,1525,61400,100500,40200,2592
1966,MA,"Rye, fall remaining",42,1540,60000,,,2532
1966,MA,"Rye, spring",43,1165,1400,3000,1200,60
1966,MA,Sugar beets,18.5,23800,221800,23045,9300,4106
1966,MA,Sunflower seed,132,730,12700,43100,17400,1680
1966,MA,Tame hay,18.2,4430,1903000,1065000,430000,34617
1966,MA,"Wheat, all",65,1630,2150000,3255000,1317000,140620
1966,MP,Barley,53,2885,24250,20800,8400,1277
1966,MP,Mixed grains,46,3105,85200,67700,27450,3911
1966,MP,Oats,54,2175,162100,184200,74550,8731
1966,MP,Tame hay,15.7,4600,1222000,651000,263000,19239
1966,MP,"Wheat, all",64,2385,7150,7500,3000,457
1966,NB,Barley,57,2400,5400,5600,2250,309
1966,NB,Buckwheat,54,2125,1700,2000,800,92
1966,NB,Corn for silage,0,0,0,0,0,0
1966,NB,Mixed grains,53,2520,9700,9500,3850,518
1966,NB,Oats,54,1925,56550,72600,29400,3079
1966,NB,Tame hay,16.5,4390,430000,243000,98000,7110
1966,NB,"Wheat, all",64,2280,3650,4000,1600,234
1966,NS,Barley,58,2725,3950,3600,1450,229
1966,NS,Corn for silage,0,0,0,0,0,0
1966,NS,Mixed grains,55,2855,11700,10100,4100,642
1966,NS,Oats,60,2165,22500,25700,10400,1343
1966,NS,"Rye, all",0,0,0,0,0,0
1966,NS,Tame hay,16,5190,472000,226000,91000,7540
1966,NS,"Wheat, all",63,2635,1450,1400,550,92
1966,ON,Barley,56,2280,244600,265000,107200,13708
1966,ON,"Beans, all dry (white and coloured)",151,1675,79300,117000,47300,11943
1966,ON,Buckwheat,51,1285,7200,13900,5600,367
1966,ON,Corn for grain,58,5200,1653000,786000,318000,95669
1966,ON,Corn for silage,7.2,26410,4860000,454000,184000,34928
1966,ON,Flaxseed,104,930,5450,14500,5850,568
1966,ON,Mixed grains,47,2440,834800,845000,342000,38853
1966,ON,Oats,54,1850,913700,1219000,493300,49172
1966,ON,"Peas, dry",103,1200,1200,2500,1000,124
1966,ON,"Rye, all",47,1745,33300,47100,19100,1558
1966,ON,Soybeans,110,2175,245300,279000,112900,27036
1966,ON,Sugar beets,15.4,40900,196200,11925,4800,3018
1966,ON,Tame hay,21.5,5180,7163000,3418000,1383000,153972
1966,ON,"Wheat, all",66,2935,431100,363000,146900,28647
1966,ON,"Wheat, spring",66,1920,17100,22000,8900,1135
1966,ON,"Wheat, winter remaining",66,3000,414000,,,27512
1966,PP,Barley,48,2135,6053000,7010000,2837000,290120
1966,PP,Canola (rapeseed),109,950,585100,1525000,617100,63760
1966,PP,Corn for silage,8.3,11800,231000,43400,17500,1920
1966,PP,Flaxseed,107,735,558800,1883000,762000,59855
1966,PP,Mixed grains,43,2140,646600,747000,302300,27775
1966,PP,Oats,45,1785,3918000,5422000,2194000,176190
1966,PP,"Peas, dry",88,1160,25800,55000,22200,2279
1966,PP,"Rye, all",43,1470,399000,671100,271200,16999
1966,PP,Sugar beets,18.4,30200,743900,60929,24600,13723
1966,PP,Tame hay,18.1,3800,8127000,5249000,2120000,146758
1966,PP,"Wheat, all",65,1860,21963000,29166000,11803000,1421540
1966,PEI,Barley,50,3170,14900,11600,4700,739
1966,PEI,Corn for silage,0,0,0,0,0,0
1966,PEI,Mixed grains,43,3270,63800,48100,19500,2751
1966,PEI,Oats,52,2390,83050,85900,34750,4309
1966,PEI,Tame hay,14.3,4320,320000,182000,74000,4589
1966,PEI,"Wheat, all",64,2410,2050,2100,850,131
1966,QU,Barley,56,1985,12500,15500,6300,700
1966,QU,"Beans, all dry (white and coloured)",152,1250,500,1000,400,76
1966,QU,Buckwheat,56,1390,9050,16000,6500,503
1966,QU,Corn for grain,59,4070,29300,17700,7200,1728
1966,QU,Corn for silage,8,27960,836000,73900,29900,6684
1966,QU,Flaxseed,107,965,7250,18500,7500,775
1966,QU,Mixed grains,58,2190,90400,102000,41300,5268
1966,QU,Oats,58,1640,666000,1002000,405500,38436
1966,QU,"Peas, dry",154,1455,800,1400,550,123
1966,QU,"Rye, all",44,1450,2900,4900,2000,129
1966,QU,Sugar beets,20.2,34700,118100,8418,3400,2385
1966,QU,Tame hay,20.5,4440,6067000,3378000,1367000,124397
1966,QU,"Wheat, all",64,1785,20900,29000,11700,1329
1966,SK,Barley,48,2170,1981000,2255000,913000,95550
1966,SK,Canola (rapeseed),108,975,288000,731000,295800,31115
1966,SK,Corn for silage,13.5,960,24000,6300,2500,324
1966,SK,Flaxseed,107,875,152400,429000,174000,16380
1966,SK,Mixed grains,40,2200,136200,153000,61900,5470
1966,SK,Mustard seed,101,950,31300,81200,32900,3174
1966,SK,Oats,44,1875,1373000,1810000,732000,60520
1966,SK,"Peas, dry",87,1750,700,1000,400,61
1966,SK,"Rye, all",43,1420,228600,398300,161000,9720
1966,SK,"Rye, fall remaining",43,1450,193000,,,8208
1966,SK,"Rye, spring",42,1270,35600,70300,28000,1512
1966,SK,Sunflower seed,112,555,1500,6700,2700,168
1966,SK,Tame hay,17.6,3870,1933000,1246000,500000,34096
1966,SK,"Wheat, all",65,1860,14615000,19405000,7853000,950490
1967,AB,Barley,39,1735,3005000,4280000,1732000,115920
1967,AB,Canola (rapeseed),84,780,276700,875000,354100,23302
1967,AB,Corn for silage,0,0,0,0,0,0
1967,AB,Flaxseed,121,730,43200,145000,59000,5236
1967,AB,Mixed grains,44,1815,265400,361000,146100,11700
1967,AB,Mustard seed,106,755,34900,114000,46100,3694
1967,AB,Oats,41,1555,1234000,1960000,793000,51200
1967,AB,"Peas, dry",110,1865,7450,10000,4000,822
1967,AB,"Rye, all",42,1220,79200,160000,65000,3348
1967,AB,"Rye, fall remaining",42,1255,69000,,,2916
1967,AB,"Rye, spring",42,1020,10200,25000,10000,432
1967,AB,Sugar beets,19.8,29000,393800,33507,13600,7792
1967,AB,Sunflower seed,0,0,0,0,0,0
1967,AB,Tame hay,22,3130,3629000,2875000,1160000,80000
1967,AB,"Wheat, all",59,1530,3946000,6380000,2582000,233450
1967,BC,Barley,43,1135,82700,180000,72800,3572
1967,BC,Canola (rapeseed),84,555,3400,15000,6100,286
1967,BC,Corn for silage,8.8,38570,108000,7000,2800,952
1967,BC,Flaxseed,111,635,350,1400,550,39
1967,BC,Mixed grains,62,2190,4600,5200,2100,287
1967,BC,Oats,46,1420,38600,67100,27200,1775
1967,BC,"Peas, dry",75,1250,1000,1900,800,75
1967,BC,"Rye, all",43,1845,2400,3100,1300,103
1967,BC,Tame hay,26.5,5480,998000,450000,182000,26400
1967,BC,"Wheat, all",59,1400,57200,101000,40900,3360
1967,CA,Barley,40,1675,5505800,8121300,3286850,220340
1967,CA,"Beans, all dry (white and coloured)",198,1125,39100,86000,34800,7730
1967,CA,Buckwheat,70,920,28450,76100,30850,2001
1967,CA,Canola (rapeseed),85,850,563600,1635000,661700,47792
1967,CA,Corn for grain,49,5310,1882800,876100,354500,93132
1967,CA,Corn for silage,7.4,27500,6677000,599100,242100,49684
1967,CA,Flaxseed,121,575,238250,1023400,414300,28845
1967,CA,Mixed grains,46,2310,1568850,1676800,678500,72507
1967,CA,Mustard seed,111,760,68000,221000,89400,7580
1967,CA,Oats,47,1560,4654750,7379100,2985300,218329
1967,CA,"Peas, dry",89,1590,30250,47200,19000,2680
1967,CA,"Rye, all",43,1095,304500,684700,278200,12992
1967,CA,"Rye, fall remaining",43,1130,276100,,,11800
1967,CA,"Rye, spring",42,825,28400,84300,34400,1192
1967,CA,Soybeans,98,1875,220200,290000,117400,21684
1967,CA,Sugar beets,18.4,29000,980800,83305,33800,18054
1967,CA,Sunflower seed,99,885,16400,45800,18500,1629
1967,CA,Tame hay,19.7,4400,22718000,12742000,5162000,447548
1967,CA,"Wheat, all",60,1325,16136450,30121700,12189500,964006
1967,MA,Barley,41,1825,718000,970000,393000,29370
1967,MA,Buckwheat,92,630,11450,45000,18200,1050
1967,MA,Canola (rapeseed),85,890,52200,145000,58700,4416
1967,MA,Corn for grain,59,3180,7000,5500,2200,412
1967,MA,Corn for silage,7.7,12100,127000,26000,10500,980
1967,MA,Flaxseed,121,540,144800,660000,267000,17556
1967,MA,Mixed grains,44,1900,136800,178000,72000,6030
1967,MA,Mustard seed,119,785,9200,29000,11700,1096
1967,MA,Oats,45,1575,1018000,1600000,647000,45540
1967,MA,"Peas, dry",77,1575,19050,30000,12100,1470
1967,MA,"Rye, all",43,1175,67400,141100,57400,2880
1967,MA,"Rye, fall remaining",43,1175,67000,,,2862
1967,MA,"Rye, spring",45,1000,400,1100,400,18
1967,MA,Sugar beets,19.6,18900,205700,26898,10900,4036
1967,MA,Sunflower seed,99,900,16000,44000,17800,1584
1967,MA,Tame hay,19.3,3370,1451000,1052000,430000,28000
1967,MA,"Wheat, all",60,1720,2449000,3520000,1424000,147600
1967,MP,Barley,54,1675,25900,38200,15450,1397
1967,MP,Mixed grains,48,2140,60150,69500,28100,2867
1967,MP,Oats,55,1560,112250,178000,72000,6189
1967,MP,Tame hay,17.8,4600,1148000,612000,248000,20425
1967,MP,"Wheat, all",63,1955,6650,8400,3400,417
1967,NB,Barley,57,1615,5900,9000,3650,335
1967,NB,Buckwheat,57,1705,1450,2100,850,82
1967,NB,Corn for silage,0,0,0,0,0,0
1967,NB,Mixed grains,51,1910,6200,8000,3250,316
1967,NB,Oats,55,1480,44300,74000,29950,2440
1967,NB,Tame hay,18.5,4630,426000,228000,92000,7873
1967,NB,"Wheat, all",62,1820,3000,4100,1650,187
1967,NS,Barley,60,1760,5800,8200,3300,346
1967,NS,Corn for silage,0,0,0,0,0,0
1967,NS,Mixed grains,54,1815,8450,11500,4650,455
1967,NS,Oats,58,1450,14050,24000,9700,812
1967,NS,"Rye, all",0,0,0,0,0,0
1967,NS,Tame hay,18.2,4680,407000,214000,87000,7409
1967,NS,"Wheat, all",63,2180,2400,2700,1100,150
1967,ON,Barley,55,2490,287300,285000,115300,15703
1967,ON,"Beans, all dry (white and coloured)",198,1120,38600,85000,34400,7652
1967,ON,Buckwheat,55,1385,8450,15000,6100,468
1967,ON,Corn for grain,49,5335,1835000,850000,344000,90312
1967,ON,Corn for silage,7.2,28510,5530000,480000,194000,39624
1967,ON,Flaxseed,112,1000,2850,7000,2850,319
1967,ON,Mixed grains,46,2815,934000,820000,331800,43011
1967,ON,Oats,54,2055,893600,1075000,435000,48092
1967,ON,"Peas, dry",109,1165,1400,3000,1200,153
1967,ON,"Rye, all",47,1670,33100,49000,19800,1564
1967,ON,Soybeans,98,1875,220200,290000,117400,21684
1967,ON,Sugar beets,14.6,45700,260300,14124,5700,3802
1967,ON,Tame hay,19.8,5830,8114000,3440000,1392000,160992
1967,ON,"Wheat, all",67,2575,430900,413000,167300,28678
1967,ON,"Wheat, spring",67,1870,9900,13000,5300,659
1967,ON,"Wheat, winter remaining",67,2600,421000,,,28019
1967,PP,Barley,39,1655,5095000,7600000,3076000,198840
1967,PP,Canola (rapeseed),85,855,560200,1620000,655600,47506
1967,PP,Corn for silage,8.4,9500,145000,33000,13300,1220
1967,PP,Flaxseed,121,565,228600,998000,404000,27688
1967,PP,Mixed grains,44,1765,475700,667000,269900,20790
1967,PP,Oats,43,1460,3008000,5090000,2059000,129080
1967,PP,"Peas, dry",86,1645,26950,40800,16400,2323
1967,PP,"Rye, all",42,1045,266400,628300,255400,11210
1967,PP,Sugar beets,19.7,24500,599500,60405,24500,11828
1967,PP,Tame hay,21.2,3000,6191000,5027000,2040000,131275
1967,PP,"Wheat, all",60,1305,15621000,29570000,11966000,930230
1967,PEI,Barley,50,1670,14200,21000,8500,716
1967,PEI,Corn for silage,0,0,0,0,0,0
1967,PEI,Mixed grains,46,2250,45500,50000,20200,2096
1967,PEI,Oats,54,1665,53900,80000,32350,2937
1967,PEI,Tame hay,16.3,4570,315000,170000,69000,5143
1967,PEI,"Wheat, all",64,1925,1250,1600,650,80
1967,QU,Barley,56,2040,14900,18100,7300,828
1967,QU,"Beans, all dry (white and coloured)",156,1250,500,1000,400,78
1967,QU,Buckwheat,56,1245,7100,14000,5700,401
1967,QU,Corn for grain,59,4915,40800,20600,8300,2408
1967,QU,Corn for silage,8.8,27940,894000,79100,32000,7888
1967,QU,Flaxseed,124,935,6450,17000,6900,799
1967,QU,Mixed grains,59,2025,94400,115100,46600,5552
1967,QU,Oats,55,1535,602300,969000,392100,33193
1967,QU,"Peas, dry",143,1500,900,1500,600,129
1967,QU,"Rye, all",44,1530,2600,4300,1700,115
1967,QU,Sugar beets,20,33600,121000,8776,3600,2424
1967,QU,Tame hay,17.3,4820,6267000,3213000,1300000,108456
1967,QU,"Wheat, all",64,1740,20700,29300,11900,1321
1967,SK,Barley,39,1445,1372000,2350000,951000,53550
1967,SK,Canola (rapeseed),86,955,231300,600000,242800,19788
1967,SK,Corn for silage,13.3,643,18000,7000,2800,240
1967,SK,Flaxseed,121,520,40600,193000,78000,4896
1967,SK,Mixed grains,42,1420,73500,128000,51800,3060
1967,SK,Mustard seed,117,755,23900,78000,31600,2790
1967,SK,Oats,43,1220,756000,1530000,619000,32340
1967,SK,"Peas, dry",69,1500,450,800,300,31
1967,SK,"Rye, all",42,900,119800,327200,133000,4982
1967,SK,"Rye, fall remaining",42,935,102000,,,4240
1967,SK,"Rye, spring",42,740,17800,58200,24000,742
1967,SK,Sunflower seed,113,570,400,1800,700,45
1967,SK,Tame hay,20.9,2470,1111000,1100000,450000,23275
1967,SK,"Wheat, all",60,1160,9226000,19670000,7960000,549180
1968,AB,Barley,37,2060,3875000,4650000,1882000,144180
1968,AB,Canola (rapeseed),79,935,170100,450000,182100,13500
1968,AB,Corn for silage,0,0,0,0,0,0
1968,AB,Flaxseed,115,950,109200,285000,115000,12599
1968,AB,Mixed grains,35,2005,291900,360000,145700,10153
1968,AB,Mustard seed,104,955,57200,148000,59900,5922
1968,AB,Oats,34,1830,1450000,1960000,793000,49820
1968,AB,"Peas, dry",110,1670,8850,13000,5300,975
1968,AB,"Rye, all",41,1320,60700,114000,46000,2496
1968,AB,"Rye, fall remaining",41,1380,47000,,,1934
1968,AB,"Rye, spring",41,1140,13700,30000,12000,562
1968,AB,Sugar beets,20.1,34000,540900,39206,15900,10898
1968,AB,Sunflower seed,120,250,50,500,200,6
1968,AB,Tame hay,27.2,2620,2903000,2740000,1110000,79040
1968,AB,"Wheat, all",48,1730,4518000,6460000,2614000,216835
1968,BC,Barley,38,1960,135000,170000,68800,5084
1968,BC,Canola (rapeseed),77,875,1400,4000,1600,108
1968,BC,Corn for silage,9.9,39470,150000,9400,3800,1485
1968,BC,Flaxseed,104,835,250,800,300,26
1968,BC,Mixed grains,59,2475,4950,5000,2000,294
1968,BC,Oats,43,2155,67900,77900,31500,2904
1968,BC,"Peas, dry",73,2000,1200,1600,600,88
1968,BC,"Rye, all",39,2000,2800,3400,1400,110
1968,BC,Tame hay,29.8,5740,998000,429000,174000,29700
1968,BC,"Wheat, all",55,1915,122500,158000,63900,6795
1968,CA,Barley,37,1980,7098200,8854400,3583300,265822
1968,CA,"Beans, all dry (white and coloured)",183,1200,44150,90900,36750,8092
1968,CA,Buckwheat,68,915,30600,82600,33400,2069
1968,CA,Canola (rapeseed),81,1035,441400,1056000,427300,35580
1968,CA,Corn for grain,49,5325,2076800,964300,389900,101666
1968,CA,Corn for silage,7.3,28100,7235000,636400,257100,53065
1968,CA,Flaxseed,113,810,499500,1524400,617050,56594
1968,CA,Mixed grains,42,2595,1772150,1689000,683300,74264
1968,CA,Mustard seed,99,985,212700,533000,215700,21056
1968,CA,Oats,38,1830,5501050,7430900,3006150,211569
1968,CA,"Peas, dry",89,1280,27500,52900,21450,2455
1968,CA,"Rye, all",40,1205,330400,677600,274100,13377
1968,CA,"Rye, fall remaining",40,1230,293300,,,11877
1968,CA,"Rye, spring",40,1050,37100,88000,35400,1500
1968,CA,Soybeans,90,2060,245700,295000,119400,22026
1968,CA,Sugar beets,19,30800,996300,79666,32300,18923
1968,CA,Sunflower seed,109,695,11250,40000,16200,1230
1968,CA,Tame hay,20.5,4100,20319000,12117000,4909000,415748
1968,CA,"Wheat, all",49,1485,17690400,29425500,11908200,872754
1968,MA,Barley,36,1980,936000,1170000,473000,33970
1968,MA,Buckwheat,90,570,11550,50000,20200,1034
1968,MA,Canola (rapeseed),83,1170,43100,91000,36800,3572
1968,MA,Corn for grain,53,2500,2500,2500,1000,132
1968,MA,Corn for silage,7.7,12770,152000,29500,11900,1176
1968,MA,Flaxseed,112,795,264200,820000,332000,29536
1968,MA,Mixed grains,38,2185,157200,178000,72000,5929
1968,MA,Mustard seed,110,945,24900,65000,26300,2750
1968,MA,Oats,32,1955,1249000,1580000,639000,40500
1968,MA,"Peas, dry",75,1070,14350,33000,13400,1072
1968,MA,"Rye, all",39,1310,63500,120000,48400,2500
1968,MA,"Rye, fall remaining",39,1315,63000,,,2480
1968,MA,"Rye, spring",40,1250,500,1000,400,20
1968,MA,Sugar beets,17.6,22900,270700,29079,11800,4769
1968,MA,Sunflower seed,110,725,10900,37000,15000,1200
1968,MA,Tame hay,20.4,3820,1451000,940000,380000,29600
1968,MA,"Wheat, all",48,1800,2477000,3400000,1376000,119544
1968,MP,Barley,51,2740,37800,34000,13800,1945
1968,MP,Mixed grains,44,2785,80800,71800,29000,3573
1968,MP,Oats,52,1890,123850,162000,65550,6451
1968,MP,Tame hay,18,4400,1045000,586000,237000,18785
1968,MP,"Wheat, all",59,2420,10900,11100,4500,642
1968,NB,Barley,54,2460,7500,7500,3050,404
